Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Estrogen-Dependent Breast Cancer Signaling	5.2E00	4.46E-01	0.600	Akr1b7,AKT1,AKT2,AKT3,ATF2,ATF4,CCND1,CREB3,CREB3L3,CREB3L4,FOS,HSD17B13,HSD17B14,HSD17B2,HSD17B4,JUN,MRAS,NFKB2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,STAT5B,TERT	
Triacylglycerol Degradation	5.17E00	5.11E-01	-0.408	AADAC,AARS1,AARSD1,ABHD12,ABHD16A,CES1,Ces1b/Ces1c,Ces1e,CES2,Ces2a,Ces2e,DDHD2,FAAH,LIPE,MGLL,NOTUM,PLA1A,PNLIPRP1,PNLIPRP2,PNPLA2,PNPLA3,PNPLA7,PPME1,TARS2	
14-3-3-mediated Signaling	5.15E00	3.86E-01	0.973	AKT1,AKT2,AKT3,CDKN1B,FOS,JUN,MAP2K1,MAP2K4,MRAS,NOTUM,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PRKD3,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RPS6KA1,SFN,SNCA,TNF,TNFRSF1A,TRAF2,TUBA1B,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB2A,TUBB2B,TUBB3,TUBG1,YWHAE,YWHAG,YWHAH	
CD27 Signaling in Lymphocytes	5.14E00	4.91E-01	0.853	BID,CASP3,CASP8,FOS,IKBKE,IKBKG,JUN,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP3K1,MAP3K12,MAP3K13,MAP3K15,MAP3K3,MAP3K4,MAP3K6,MAP3K8,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELA,SIVA1,TRAF2	
Phenylalanine Degradation IV (Mammalian, via Side Chain)	5.1E00	7.86E-01	-0.302	ACSF3,ALDH3A2,GOT1,GOT2,HPD,IL4I1,MAOA,MAOB,SLC27A2,SLC27A3,SMOX	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	5.09E00	3.41E-01	NaN	AKT1,AKT2,AKT3,ALPL,APC,BCL2,BIRC3,BMP1,BMPR2,CAMK4,CSF1,CSF1R,CSF2,FOS,FZD1,FZD2,FZD3,FZD6,GSN,HNF1A,IKBKE,IKBKG,IL18,IL18R1,IL1RAP,ITGA2,ITGA5,JUN,LEF1,LRP1,LRP5,LRP6,MAP2K3,MAP2K4,MAP2K6,NAIP,Naip1 (includes others),NFAT5,NFATC1,NFATC3,NFATC4,NFKBIA,NFKBIB,NFKBIE,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPP3CA,PTK2B,RELA,SFRP1,SFRP5,SMAD5,SMAD6,SMURF1,TCF4,TCF7L1,TGFB1,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,TRADD,TRAF2,WIF1,WNT11,WNT2B,WNT4,WNT7B,WNT9B,XIAP	
IL-15 Signaling	5.04E00	4.4E-01	1.915	AKT1,AKT2,AKT3,CSF2,GNB1L,IL15,IL2RB,IL2RG,JAK3,LCK,MAP2K1,MAPK11,MAPK13,MRAS,MTOR,NFKB2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,STAT3,STAT5B,STAT6	
HGF Signaling	5.04E00	3.96E-01	0.632	AKT1,AKT2,AKT3,ATF2,CCND1,CDKN1A,ELF3,ETS1,FOS,ITGA2,ITGA4,ITGA5,JUN,MAP2K1,MAP2K4,MAP3K1,MAP3K12,MAP3K13,MAP3K15,MAP3K3,MAP3K4,MAP3K6,MAP3K8,MRAS,PAK1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKD3,PTPN11,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOS2,STAT3	
ERK5 Signaling	5.02E00	4.44E-01	0.730	AKT1,ATF2,ATF4,CREB3,CREB3L3,CREB3L4,CTF1,EGF,FOS,FOSL1,LIF,MAP3K3,MAP3K8,MEF2A,MRAS,NTRK1,PTPN11,RALB,RAP2A,RAP2B,RASD1,RASD2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,SFN,SGK1,WNK1,YWHAE,YWHAG,YWHAH	
Type II Diabetes Mellitus Signaling	5.02E00	3.73E-01	0.507	ABCC8,ACSL1,ACSL3,AKT1,AKT2,AKT3,CACNA1A,CACNA1B,CACNA1D,CACNA2D1,CACNA2D2,CACNB4,CACNG4,CD36,CEBPB,GCK,IKBKE,IKBKG,INSR,IRS2,MAP2K4,MAP3K1,MTOR,NFKB2,NFKBIA,NFKBIB,NFKBIE,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PKLR,PPARG,PRKAA2,PRKD3,RELA,SLC27A1,SLC27A2,SLC27A3,SLC27A5,SLC27A6,SLC2A2,SOCS1,SOCS3,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,TRADD,TRAF2	
CXCR4 Signaling	4.98E00	3.59E-01	1.414	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,EGR1,ELMO1,FOS,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,JUN,MAP2K1,MAP2K4,MRAS,MYL10,MYL9,MYLPF,PAK1,PAK3,PAK4,PAK6,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PRKD3,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,ROCK2	
Apelin Endothelial Signaling Pathway	4.96E00	3.91E-01	0.617	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,APLN,CAMK4,FOS,GNAI1,GNAI2,HDAC5,ICAM1,JUN,KLF2,MAP2K1,MAP2K4,MEF2A,MRAS,MTOR,NFKB2,NOS3,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PRKAA2,PRKD3,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,TEK	
LPS-stimulated MAPK Signaling	4.95E00	4.27E-01	1.768	ATF2,CD14,FOS,IKBKE,IKBKG,JUN,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAPK11,MAPK13,MRAS,NFKB2,NFKBIA,NFKBIB,NFKBIE,PAK1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PRKD3,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SRF	
Pancreatic Adenocarcinoma Signaling	4.88E00	3.94E-01	1.616	AKT1,AKT2,AKT3,BCL2,BIRC5,BRCA2,CCND1,CCNE1,CDKN1A,CDKN1B,E2F2,E2F4,EGF,GPLD1,HBEGF,HMOX1,JAK3,MAP2K1,MAP2K4,NAPEPLD,NFKB2,PA2G4,PDGFC,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLD1,PLD5,Pld6,RAC1,RAD51,RAF1,RELA,STAT1,STAT3,SUV39H1,TGFB1,TGFBR1	
fMLP Signaling in Neutrophils	4.85E00	3.88E-01	-0.156	ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,CAMK4,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,MAP2K1,MRAS,NCF2,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,NFKBIA,NFKBIB,NFKBIE,NOX1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PPP3CA,PRKD3,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA	
GM-CSF Signaling	4.84E00	4.43E-01	0.192	AKT1,AKT2,AKT3,CAMK2B,CCND1,CISH,CSF2,ETS1,HCK,MAP2K1,MRAS,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PIM1,PPP3CA,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOS2,STAT1,STAT3,STAT5B	
Phospholipase C Signaling	4.82E00	3.27E-01	0.492	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,ARHGEF10,ARHGEF12,ARHGEF15,ARHGEF16,ARHGEF18,ARHGEF19,ARHGEF2,ARHGEF3,ARHGEF5,ATF2,ATF4,CAMK4,CD79B,CREB3,CREB3L3,CREB3L4,GNB1,GNB1L,GNB2,GNG5,GPLD1,HDAC1,HDAC5,HDAC8,HMOX1,ITGA2,ITGA4,ITGA5,LCK,MAP2K1,MEF2A,MRAS,MYL10,MYL9,MYLPF,NAPEPLD,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,PLA2G12A,PLA2G1B,PLA2G4C,PLA2G5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLD1,PLD5,Pld6,Ppp1r12b,PPP3CA,PRKD3,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RAPGEF3,RASD1,RASD2,RELA,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,RPS6KA3,SOS2,TGM2	
Superpathway of Inositol Phosphate Compounds	4.8E00	3.43E-01	0.728	ALPL,CDC25B,CDIPT,CILP,DOT1L,DUSP10,DUSP12,DUSP16,DUSP5,DUSP8,EPHX2,INPP5D,INPP5J,INPP5K,IP6K2,ITPK1,ITPKA,ITPKB,ITPKC,MDP1,MINPP1,MTMR4,MTMR7,NUDT12,NUDT5,NUDT9,PALD1,PI4K2A,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PIKFYVE,PIP4K2A,PIP5K1A,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PPFIA1,PPFIA3,PPIP5K1,PPIP5K2,PPM1H,PPP1R14B,PPP1R8,PPP2R3A,PPP2R5D,PPP3CA,PPP4C,PPP5C,PTEN,PTPN11,PTPN13,PTPN22,PTPRC,PTPRN,PTPRO,RASA1,SOCS3,TNS3,TPTE2,WBP11	
Chronic Myeloid Leukemia Signaling	4.79E00	3.98E-01	NaN	AKT1,AKT2,AKT3,CBLC,CCND1,CDKN1A,CDKN1B,E2F2,E2F4,GAB2,HDAC1,HDAC5,HDAC8,IKBKE,IKBKG,MAP2K1,MECOM,MRAS,NFKB2,PA2G4,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RBL2,RELA,SOS2,STAT5B,SUV39H1,TGFB1,TGFBR1	
Renal Cell Carcinoma Signaling	4.78E00	4.25E-01	0.784	AKT1,AKT2,AKT3,ETS1,FOS,JUN,MAP2K1,MRAS,PAK1,PAK3,PAK4,PAK6,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTPN11,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SLC2A1,SOS2,TGFB1,Ubb,UBC,UBD,VHL	
EGF Signaling	4.77E00	4.73E-01	1.400	AKT1,AKT2,AKT3,CSNK2A2,EGF,FOS,JUN,MAP2K1,MAP2K4,MAP3K1,MAPK11,MAPK13,MTOR,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RAF1,RASA1,SOS2,SRF,STAT1,STAT3	
Endothelin-1 Signaling	4.72E00	3.46E-01	-0.651	ABHD3,ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,CASP14,CASP3,CASP4,CASP7,CASP8,ECE2,EDN1,FOS,GNA14,GNA15,GNAI1,GNAI2,GPLD1,GUCY2C,HMOX1,JUN,MAPK11,MAPK13,MAPK15,MRAS,NAPEPLD,NOS2,NOS3,NOTUM,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLA2G12A,PLA2G1B,Pla2g2a,PLA2G2C,PLA2G4C,PLA2G5,PLA2R1,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PLD1,PLD5,Pld6,PNPLA3,PRKD3,PTGS1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SHF	
Leptin Signaling in Obesity	4.72E00	4.32E-01	-0.500	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,MAP2K1,NOTUM,PDE3A,PDE3B,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PRKACB,PRKAR1B,PTPN11,SOCS3,STAT3	
PAK Signaling	4.71E00	4.02E-01	0.169	ARHGAP10,CASP3,CFL1,ITGA2,ITGA4,ITGA5,LIMK1,LIMK2,MAP2K1,MAP2K4,MRAS,MYL10,MYL9,MYLK,MYLPF,PAK1,PAK3,PAK4,PAK6,PDGFA,PDGFC,PDGFRB,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTK2B,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOS2,TNF	
Role of NFAT in Cardiac Hypertrophy	4.7E00	3.36E-01	-2.142	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKAP5,AKT1,AKT2,AKT3,CACNA1A,CACNA1B,CACNA1D,CACNA2D1,CACNA2D2,CACNB4,CACNG4,CAMK1,CAMK1D,CAMK2B,CAMK4,CTF1,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,HDAC1,HDAC5,HDAC8,LIF,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP3K1,MAPK11,MAPK13,MEF2A,MRAS,NFATC4,NOTUM,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PPP3CA,PRKACB,PRKAR1B,PRKD3,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RCAN2,SLC8A3,SOS2,TGFB1,TGFBR1	
IL-15 Production	4.68E00	3.8E-01	-0.590	BMX,CLK1,CLK3,CLK4,CSF1R,DDR1,DSTYK,DYRK4,EPHA2,EPHA4,FES,FGFR2,FGFR3,FGFR4,FGR,FLT4,HCK,IL15,INSR,IRF1,JAK3,KIT,LCK,LTK,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MATK,MERTK,MST1R,NFKB2,NTRK1,PDGFRB,PTK2B,PTK6,RELA,RET,RYK,SRMS,STAT1,TEC,TEK,TWF1,TXK,YES1	
PPAR Signaling	4.67E00	3.94E-01	-1.761	AIP,FOS,HSP90AB1,IKBKE,IKBKG,IL18,IL1RAP,INSR,JUN,MAP2K1,MRAS,NCOR1,NFKB2,NFKBIA,NFKBIB,NFKBIE,NR0B2,NR1H3,NRIP1,PDGFA,PDGFC,PDGFRB,PPARA,PPARD,PPARG,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SCAND1,SOS2,SRA1,STAT5B,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,TRAF2	
Remodeling of Epithelial Adherens Junctions	4.67E00	4.41E-01	3.051	ACTB,ACTG1,ACTN4,APC,ARF6,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,CDH1,CTNND1,DNM2,DNM3,IQGAP1,MAPRE3,RAB5C,RAB7A,TUBA1B,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB2A,TUBB2B,TUBB3,TUBG1,VCL,ZYX	
IL-1 Signaling	4.63E00	4.07E-01	1.706	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,ECSIT,FOS,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,IKBKE,IKBKG,IL1RAP,IRAK2,JUN,MAP2K3,MAP2K4,MAP2K6,MAP3K1,MAPK11,MAPK13,MRAS,MYD88,NFKB2,NFKBIA,NFKBIB,NFKBIE,PRKACB,PRKAR1B,RELA,TOLLIP	
Superpathway of Citrulline Metabolism	4.62E00	7.33E-01	-0.302	ARG2,ASS1,CPS1,GLS,GLS2,LOC102724788/PRODH,NOS2,NOS3,OAT,OTC,PRODH2	
T Cell Exhaustion Signaling Pathway	4.59E00	3.49E-01	1.809	ACVR1C,ACVR2A,AKT1,AKT2,AKT3,BMPR2,CD274,EOMES,FOS,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,HLA-G,Ifna4,IFNAR2,IL12RB1,IL12RB2,IRF9,JAK3,JUN,MAP2K4,MRAS,MTOR,NFAT5,NFATC1,NFATC3,NFATC4,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PRDM1,PTPN11,RALB,RAP2A,RAP2B,RASD1,RASD2,STAT1,STAT2,STAT3,TGFB1,TGFBR1,TNFRSF14	
Inhibition of ARE-Mediated mRNA Degradation Pathway	4.57E00	3.77E-01	0.885	AKT1,AKT2,AKT3,CNOT1,DDX6,EXOSC10,EXOSC2,EXOSC3,EXOSC4,EXOSC7,LTA,LTB,MAPK11,MAPK13,MAPK15,MAPKAPK2,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PRKACB,PRKAR1B,PSME1,PSME2,PSME3,PSMF1,SFN,TIA1,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,TNFSF10,TNFSF12,TNFSF12-TNFSF13,TNFSF13,TNFSF15,YWHAE,YWHAG,YWHAH,ZFP36	
Actin Nucleation by ARP-WASP Complex	4.55E00	4.31E-01	2.117	ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,BAIAP2,ITGA2,ITGA4,ITGA5,MRAS,RAC1,RAC2,RALB,RAP2A,RAP2B,RASD1,RASD2,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,ROCK2,SOS2,VASP,WASF1	
Opioid Signaling Pathway	4.47E00	3.24E-01	-1.270	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,AP2M1,ATF2,ATF4,CACNA1A,CACNA1B,CACNA1D,CACNA2D1,CACNA2D2,CACNB4,CACNG4,CAMK1,CAMK1D,CAMK2B,CAMK4,CDKN1B,CLTB,CREB3,CREB3L3,CREB3L4,FGR,FOS,GNAI1,GNAI2,GNB1,GNG5,GRIN2D,GRINA,GRK4,GRK5,GRK6,HCK,KCNJ3,LCK,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAPK15,MRAS,NFKB2,NFKBIA,NOS3,OGFR,OPRD1,PIK3CG,PLCB1,PPP3CA,PRKACB,PRKAR1B,PRKD3,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RGS11,RGS13,RGS19,RGS3,RGS4,RGS5,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,SOS2,SRF,YES1	
RhoA Signaling	4.47E00	3.74E-01	1.067	ACTB,ACTG1,ARHGAP6,ARHGAP8/PRR5-ARHGAP8,ARHGAP9,ARHGEF12,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,BAIAP2,CDC42EP3,CDC42EP5,CFL1,EZR,LIMK1,LIMK2,LPAR3,MSN,MYL10,MYL9,MYLK,MYLK3,MYLPF,NRP2,PFN1,PFN2,PIKFYVE,PIP5K1A,PLD1,PLXNA1,Ppp1r12b,PTK2B,RAPGEF6,RHOA,ROCK2,SEMA3F,SEPTIN1,SEPTIN10,SEPTIN11,SEPTIN5,SEPTIN6,SEPTIN8,WASF1	
Wnt/β-catenin Signaling	4.46E00	3.47E-01	-0.137	ACVR1C,ACVR2A,AKT1,AKT2,AKT3,APC,APPL2,AXIN2,BCL9,BMPR2,CCND1,CDH1,CSNK1E,CSNK1G3,CSNK2A2,FZD1,FZD2,FZD3,FZD6,HDAC1,HNF1A,JUN,KREMEN2,LEF1,LRP1,LRP5,LRP6,MAP4K1,MMP7,NR5A2,PIN1,PPARD,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,RUVBL2,SFRP1,SFRP5,SOX4,SOX5,SOX6,TCF4,TCF7L1,TGFB1,TGFBR1,Ubb,UBC,UBD,WIF1,WNT11,WNT2B,WNT4,WNT7B,WNT9B	
April Mediated Signaling	4.44E00	5.13E-01	1.147	FOS,IKBKE,IKBKG,JUN,MAP2K4,MAP3K1,MAPK11,MAPK13,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELA,TNFRSF13B,TNFSF13,TRAF2	
Neurotrophin/TRK Signaling	4.44E00	4.21E-01	0.186	AKT1,ATF2,ATF4,CREB3,CREB3L3,CREB3L4,FOS,JUN,KLK3,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MRAS,NTRK1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RPS6KA1,SOS2,SPRY2	
Cardiac β-adrenergic Signaling	4.43E00	3.62E-01	-2.287	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKAP11,AKAP5,AKAP7,ATP2A2,CACNA1A,CACNA1D,GDE1,GDPD1,GNB1,GNB1L,GNB2,GNG5,MPPE1,MRAS,NAPEPLD,PDE2A,PDE3A,PDE3B,PDE4A,PDE4B,PDE5A,PDE6D,PDE8A,PDE8B,PDE9A,PPM1J,PPM1L,PPP1R11,PPP1R14B,PPP1R14C,PPP1R14D,PPP1R3D,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PRKACB,PRKAR1B,SLC8A3,SMPDL3A,SMPDL3B,TULP2	
Xenobiotic Metabolism PXR Signaling Pathway	4.4E00	3.39E-01	-4.093	ABCB1,ABCC2,ALDH1A1,ALDH1L1,ALDH3A2,ALDH4A1,ALDH5A1,ALDH6A1,CAMK2B,CAT,CES1,Ces1e,Ces1g,CES2,CHST11,CHST15,CHST2,CYP2B6,CYP2C8,CYP2C9,CYP3A5,GSTA3,GSTA5,GSTK1,GSTM1,GSTM2,Gstm3,GSTM4,GSTM5,Gstm6,HS3ST1,HS3ST3B1,HSP90AB1,IL4I1,MAOA,MAOB,MGST2,MGST3,NCOR1,NOS2,NRIP1,PPP1R11,PPP1R14B,PPP1R14C,PPP1R14D,PPP1R3D,PRKACB,PRKAR1B,PRKD3,SCAND1,SMOX,SRA1,SULT1B1,SULT1C2,Sult1d1,SULT4A1,UGT1A1,UGT1A3,UGT1A6,UGT1A8 (includes others),UGT2B10,UGT2B17,UGT2B28,UGT2B7,UST	
Mouse Embryonic Stem Cell Pluripotency	4.4E00	3.88E-01	-0.493	AKT1,AKT2,AKT3,APC,BMPR2,FZD1,FZD2,FZD3,FZD6,HNF1A,ID1,ID2,ID3,JAK3,LEF1,LIF,MAP2K1,MAPK11,MAPK13,MRAS,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SMAD5,SOS2,STAT3,TCF4,TCF7L1,XIAP	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	4.38E00	3.16E-01	2.251	AKT1,AKT2,AKT3,BCL10,BCL2,CAMK4,CARD11,CCND1,CCND3,CD40,CD79B,CSF2,FGR,FOS,FOXO6,HCK,IFIH1,IFIT2,IFIT3,Ifna4,IFNAR2,IFNGR2,IL15,IL18,INPP5D,INPP5J,INPP5K,IRF5,IRF7,IRF9,ISG15,ISG20,JUN,LCK,LIF,LTA,LTB,MALT1,MAP2K1,MRAS,MTOR,MYD88,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,PAG1,PIK3AP1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PPP3CA,PRKD3,PTPN11,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SHF,SOS2,STAT1,STAT2,STAT3,TGFB1,TICAM1,TLR9,TMEM173,TNF,TNFSF10,TNFSF12,TNFSF13,TNFSF15,TRAF2,TRAF4,VAV1,YES1	
FAT10 Signaling Pathway	4.35E00	6.67E-01	1.000	HTT,MAP1LC3B,NUB1,PSMD4,PSME1,PSME2,PSME3,PSMF1,SQSTM1,TNF,UBA1,UBD	
Telomerase Signaling	4.33E00	3.83E-01	-0.522	AKT1,AKT2,AKT3,CDKN1A,EGF,ELF3,ETS1,HDAC1,HDAC5,HDAC8,HSP90AB1,IL2RB,IL2RG,MAP2K1,MRAS,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOS2,TERT,TINF2,TPP1	
Dopamine Receptor Signaling	4.31E00	4.16E-01	-1.265	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,COMT,DDC,GCH1,IL4I1,MAOA,MAOB,PPM1J,PPM1L,PPP1R11,PPP1R14B,PPP1R14C,PPP1R14D,PPP1R3D,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PRKACB,PRKAR1B,PTS,SLC18A2,SLC6A3,SMOX	
Adrenomedullin signaling pathway	4.3E00	3.35E-01	-0.391	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,BCL2,C3,CAMK4,CASP3,CEBPB,FOS,GNA14,GNA15,GPR182,GUCY2C,IL18,LTA,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAPK11,MAPK13,MAPK15,MATK,MAX,MRAS,MYLK,MYLK3,NFKB2,NOS3,NOTUM,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PPARG,PRKACB,PRKAR1B,PRKG2,PTK2B,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SHF,SLC39A7,SOS2,TNF	
